time,gt_x,gt_y,gt_theta,ekf_x,ekf_y,ekf_theta,ekf_cov_x,ekf_cov_y,ekf_cov_theta,gps_x,gps_y,imu_theta
0.542,-0.000000,0.000000,0.000000,-0.021725,0.004344,-0.000000,0.04009980,0.04009980,0.00047673,0.028844,-0.006062,-0.000000
0.546,-0.000000,0.000000,0.000000,-0.021725,0.004344,-0.000000,0.04009980,0.04009980,0.00032283,0.028844,-0.006062,-0.000000
0.555,-0.000000,0.000000,0.000000,0.009713,-0.004716,-0.000000,0.04009975,0.04009975,0.00032283,0.028844,-0.006062,-0.000000
0.564,-0.000000,0.000000,0.000000,-0.021725,0.004344,-0.000000,0.04009980,0.04009980,0.00024404,0.028844,-0.006062,-0.000000
0.572,-0.000000,0.000000,0.000000,0.009713,-0.004716,-0.000000,0.05009975,0.05009975,0.00091168,0.028844,-0.006062,-0.000000
0.589,-0.000000,0.000000,0.000000,0.009713,-0.004716,-0.000000,0.05009975,0.05009975,0.00047690,0.028844,-0.006062,-0.000000
0.591,-0.000000,0.000000,0.000000,-0.021725,0.004344,-0.000000,0.05009980,0.05009980,0.00091106,0.028844,-0.006062,-0.000000
0.617,-0.000000,0.000000,0.000000,0.009713,-0.004716,-0.000000,0.05009975,0.05009975,0.00032291,0.028844,-0.006062,-0.000000
0.621,-0.000000,0.000000,0.000000,-0.021725,0.004344,-0.000000,0.05009980,0.05009980,0.00047673,0.028844,-0.006062,-0.000000
0.646,-0.000000,0.000000,0.000000,-0.021725,0.004344,-0.000000,0.05009980,0.05009980,0.00032283,0.028844,-0.006062,-0.000000
0.650,-0.000000,0.000000,0.000000,0.009713,-0.004716,-0.000000,0.05009975,0.05009975,0.00024409,0.028844,-0.006062,-0.000000
0.670,-0.000000,0.000000,0.000000,0.009713,-0.004716,-0.000000,0.05009975,0.05009975,0.00019620,0.022125,0.001994,-0.000000
0.672,-0.000000,0.000000,0.000000,0.003079,0.003310,-0.000000,0.00009980,0.00009980,0.00019620,0.022125,0.001994,-0.000000
0.685,-0.000000,0.000000,0.000000,-0.021725,0.004344,-0.000000,0.05009980,0.05009980,0.00024404,0.022125,0.001994,-0.000000
0.702,-0.000000,0.000000,0.000000,-0.028373,0.012372,-0.000000,0.00009980,0.00009980,0.00024404,0.022125,0.001994,-0.000000
0.705,-0.000000,0.000000,0.000000,0.003079,0.003310,-0.000000,0.01009980,0.01009980,0.00091068,0.022125,0.001994,-0.000000
0.716,-0.000000,0.000000,0.000000,-0.028373,0.012372,-0.000000,0.01009980,0.01009980,0.00091106,0.022125,0.001994,-0.000000
0.718,-0.000000,0.000000,0.000000,-0.028373,0.012372,-0.000000,0.01009980,0.01009980,0.00047673,0.022125,0.001994,-0.000000
0.732,-0.000000,0.000000,0.000000,0.003079,0.003310,-0.000000,0.01009980,0.01009980,0.00047663,0.022125,0.001994,-0.000000
0.748,-0.000000,0.000000,0.000000,0.003079,0.003310,-0.000000,0.01009980,0.01009980,0.00032278,0.022125,0.001994,-0.000000
0.750,-0.000000,0.000000,0.000000,-0.028373,0.012372,-0.000000,0.01009980,0.01009980,0.00032283,0.022125,0.001994,-0.000000
0.753,-0.000000,0.000000,0.000000,0.003079,0.003310,-0.000000,0.02009980,0.02009980,0.00091168,0.022125,0.001994,-0.000000
0.758,-0.000000,0.000000,0.000000,0.003079,0.003310,-0.000000,0.02009980,0.02009980,0.00047690,0.022125,0.001994,-0.000000
0.763,-0.000000,0.000000,0.000000,-0.028373,0.012372,-0.000000,0.01009980,0.01009980,0.00024404,0.022125,0.001994,-0.000000
0.765,-0.000000,0.000000,0.000000,0.003079,0.003310,-0.000000,0.02009980,0.02009980,0.00032291,0.022125,0.001994,-0.000000
0.780,-0.000000,0.000000,0.000000,-0.028373,0.012372,-0.000000,0.02009980,0.02009980,0.00091106,0.022125,0.001994,-0.000000
0.783,-0.000000,0.000000,0.000000,0.003079,0.003310,-0.000000,0.02009980,0.02009980,0.00024409,0.022125,0.001994,-0.000000
0.787,-0.000000,0.000000,0.000000,-0.028373,0.012372,-0.000000,0.02009980,0.02009980,0.00047673,0.022125,0.001994,-0.000000
0.793,-0.000000,0.000000,0.000000,-0.028373,0.012372,-0.000000,0.02009980,0.02009980,0.00032283,0.022125,0.001994,-0.000000
0.801,-0.000000,0.000000,0.000000,-0.028373,0.012372,-0.000000,0.02009980,0.02009980,0.00024404,0.022125,0.001994,-0.000000
0.802,-0.000000,0.000000,0.000000,0.003079,0.003310,-0.000000,0.03009980,0.03009980,0.00091106,0.022125,0.001994,-0.000000
0.826,-0.000000,0.000000,0.000000,-0.028373,0.012372,-0.000000,0.03009980,0.03009980,0.00091106,0.022125,0.001994,-0.000000
